outcome,feature_set,model,scheme,n,r2,mae,rmse,corr
Z_capped_3,current_B_rare,huber,CMS_train_ATLAS_test,555,0.03529615076537662,1.3566760457770366,1.6806684735824928,0.2143132453161303
Z_capped_3,current_B_rare,forest,GroupKFold_by_analysis,752,0.02531196753839582,1.2444113050547116,1.5691033512290513,0.17820143176882647
Z_capped_3,current_B_rare,forest,ATLAS_train_CMS_test,197,0.025415839339585578,0.8669653673535073,1.1653592252441192,0.1907903231216922
Z_capped_3,current_B_rare,forest,CMS_train_ATLAS_test,555,0.004035245485751848,1.3819072918980435,1.7076821258370511,0.08152583881818082
Z_capped_3,label_B_rare,ols,GroupKFold_by_analysis,752,-0.020506500955655094,1.2736406659020865,1.6055602997771676,0.06754660946742089
Z_capped_3,label_B_rare,ols,ATLAS_train_CMS_test,197,-0.24380697079110747,1.0141083826191968,1.3165175027980442,0.013353143584715095
Z_capped_3,label_B_rare,ols,CMS_train_ATLAS_test,555,-2085.0950323326224,27.02619259844906,78.15415867355969,0.21905032515544315
Z_capped_3,label_B_rare,ridge,GroupKFold_by_analysis,752,-0.07085194864394406,1.2866472309443318,1.6446877161118827,0.003083976448424348
Z_capped_3,label_B_rare,ridge,ATLAS_train_CMS_test,197,-0.43653932736685097,1.027908857575295,1.4148451293740016,-0.06940313513964708
Z_capped_3,label_B_rare,ridge,CMS_train_ATLAS_test,555,0.0256197630217897,1.371933849002455,1.6890763504618194,0.21415503615181897
Z_capped_3,label_B_rare,elasticnet,GroupKFold_by_analysis,752,-0.01710804634321539,1.2649304301796842,1.6028846803282497,0.06024164858237781
Z_capped_3,label_B_rare,elasticnet,ATLAS_train_CMS_test,197,-0.4423754113910088,0.9942114360679362,1.4177161909288674,-0.12229442016478449
Z_capped_3,label_B_rare,elasticnet,CMS_train_ATLAS_test,555,0.030182640610865952,1.3679538303083232,1.685116863055685,0.21569078771550326
Z_capped_3,label_B_rare,huber,GroupKFold_by_analysis,752,-0.15034814781094474,1.3265423650376158,1.7046427741977108,0.08893999859569209
Z_capped_3,label_B_rare,huber,ATLAS_train_CMS_test,197,-0.5139660343414323,1.0511265088133868,1.4524734749881056,0.1917402293332365
Z_capped_3,label_B_rare,huber,CMS_train_ATLAS_test,555,-1390.034722953029,22.26661787791452,63.81959345687965,0.2190287125973037
Z_capped_3,label_B_rare,forest,GroupKFold_by_analysis,752,-0.04266627916988197,1.2892614863006189,1.6228986434812673,0.07585059168893665
